areacode,areaid,areaname,level,link,pareaid
210200000000,2102,大连市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2102.html,21
210300000000,2103,鞍山市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2103.html,21
210400000000,2104,抚顺市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2104.html,21
210500000000,2105,本溪市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2105.html,21
210600000000,2106,丹东市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2106.html,21
210700000000,2107,锦州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2107.html,21
210800000000,2108,营口市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2108.html,21
210900000000,2109,阜新市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2109.html,21
211000000000,2110,辽阳市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2110.html,21
211100000000,2111,盘锦市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2111.html,21
211200000000,2112,铁岭市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2112.html,21
211300000000,2113,朝阳市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2113.html,21
211400000000,2114,葫芦岛市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/21/2114.html,21
220100000000,2201,长春市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22/2201.html,22
220200000000,2202,吉林市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22/2202.html,22
220300000000,2203,四平市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22/2203.html,22
220400000000,2204,辽源市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22/2204.html,22
220500000000,2205,通化市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22/2205.html,22
220600000000,2206,白山市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22/2206.html,22
220700000000,2207,松原市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22/2207.html,22
220800000000,2208,白城市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22/2208.html,22
222400000000,2224,延边朝鲜族自治州,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/22/2224.html,22
230100000000,2301,哈尔滨市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2301.html,23
230200000000,2302,齐齐哈尔市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2302.html,23
230300000000,2303,鸡西市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2303.html,23
230400000000,2304,鹤岗市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2304.html,23
230500000000,2305,双鸭山市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2305.html,23
230600000000,2306,大庆市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2306.html,23
230700000000,2307,伊春市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2307.html,23
230800000000,2308,佳木斯市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2308.html,23
230900000000,2309,七台河市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2309.html,23
231000000000,2310,牡丹江市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2310.html,23
231100000000,2311,黑河市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2311.html,23
231200000000,2312,绥化市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2312.html,23
232700000000,2327,大兴安岭地区,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/23/2327.html,23
320100000000,3201,南京市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3201.html,32
320200000000,3202,无锡市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3202.html,32
320300000000,3203,徐州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3203.html,32
320400000000,3204,常州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3204.html,32
320500000000,3205,苏州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3205.html,32
320600000000,3206,南通市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3206.html,32
320700000000,3207,连云港市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3207.html,32
320800000000,3208,淮安市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3208.html,32
320900000000,3209,盐城市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3209.html,32
321000000000,3210,扬州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3210.html,32
321100000000,3211,镇江市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3211.html,32
321200000000,3212,泰州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3212.html,32
321300000000,3213,宿迁市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/32/3213.html,32
310100000000,3101,市辖区,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/31/3101.html,31
330100000000,3301,杭州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3301.html,33
330200000000,3302,宁波市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3302.html,33
330300000000,3303,温州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3303.html,33
330400000000,3304,嘉兴市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3304.html,33
330500000000,3305,湖州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3305.html,33
330600000000,3306,绍兴市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3306.html,33
330700000000,3307,金华市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3307.html,33
330800000000,3308,衢州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3308.html,33
330900000000,3309,舟山市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3309.html,33
331000000000,3310,台州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3310.html,33
331100000000,3311,丽水市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/33/3311.html,33
340100000000,3401,合肥市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3401.html,34
340200000000,3402,芜湖市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3402.html,34
340300000000,3403,蚌埠市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3403.html,34
340400000000,3404,淮南市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3404.html,34
340500000000,3405,马鞍山市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3405.html,34
340600000000,3406,淮北市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3406.html,34
340700000000,3407,铜陵市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3407.html,34
340800000000,3408,安庆市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3408.html,34
341000000000,3410,黄山市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3410.html,34
341100000000,3411,滁州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3411.html,34
341200000000,3412,阜阳市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3412.html,34
341300000000,3413,宿州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3413.html,34
341500000000,3415,六安市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3415.html,34
341600000000,3416,亳州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3416.html,34
341700000000,3417,池州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3417.html,34
341800000000,3418,宣城市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/34/3418.html,34
360100000000,3601,南昌市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3601.html,36
360200000000,3602,景德镇市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3602.html,36
360300000000,3603,萍乡市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3603.html,36
360400000000,3604,九江市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3604.html,36
360500000000,3605,新余市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3605.html,36
360600000000,3606,鹰潭市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3606.html,36
360700000000,3607,赣州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3607.html,36
360800000000,3608,吉安市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3608.html,36
360900000000,3609,宜春市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3609.html,36
361000000000,3610,抚州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3610.html,36
361100000000,3611,上饶市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/36/3611.html,36
370100000000,3701,济南市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3701.html,37
370200000000,3702,青岛市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3702.html,37
370300000000,3703,淄博市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3703.html,37
370400000000,3704,枣庄市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3704.html,37
370500000000,3705,东营市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3705.html,37
370600000000,3706,烟台市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3706.html,37
370700000000,3707,潍坊市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3707.html,37
370800000000,3708,济宁市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3708.html,37
370900000000,3709,泰安市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3709.html,37
371000000000,3710,威海市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3710.html,37
371100000000,3711,日照市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3711.html,37
371300000000,3713,临沂市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3713.html,37
371400000000,3714,德州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3714.html,37
371500000000,3715,聊城市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3715.html,37
371600000000,3716,滨州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3716.html,37
371700000000,3717,菏泽市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/37/3717.html,37
410100000000,4101,郑州市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4101.html,41
410200000000,4102,开封市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4102.html,41
410300000000,4103,洛阳市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4103.html,41
410400000000,4104,平顶山市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4104.html,41
410500000000,4105,安阳市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4105.html,41
410600000000,4106,鹤壁市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4106.html,41
410700000000,4107,新乡市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4107.html,41
410800000000,4108,焦作市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4108.html,41
410900000000,4109,濮阳市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4109.html,41
411000000000,4110,许昌市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4110.html,41
411100000000,4111,漯河市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4111.html,41
411200000000,4112,三门峡市,2,http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2019/41/4112.html,41
